Run,Program Version,User,Time Started (UTC),Time Finished (UTC),Minutes Spent,Position,Points,testing question? (8vufenf),"Have you noticed surveillance technologies in your neighborhood that were installed by the government, police, or private businesses (not personal home cameras like Ring or Nest)? (lw3083d)",What is your ZIP code? (7bepp7b),participantID,assignmentID,projectID,startedAt,computerCountry,computerID,device,Which of the following surveillance tools have you heard of or seen in your city? (Select all that apply) (8dl9hmt),"How concerned are you about surveillance technology in public spaces like streets, sidewalks, or public transit? (n15scu9)",How often do you notice surveillance cameras or sensors in your neighborhood or daily routine? (6itkmu),How familiar are you with how automatic license plate reader (ALPR) cameras work? (724al0n),"After being approved by local governments, private companies like Flock Safety install Automatic License Plate Reader (ALPR) cameras in neighborhoods and share data with police. Before today, how aware were you of that fact? (50mnfkf)","In some Bay Area cities, Automatic License Plate Reader (ALPR) cameras store an image of your license plate, vehicle make and model, and location in a searchable database for up to 12 months every time you drive past one. Before today, how aware were you of that fact? (6s6r3ex)","Police can search the Automatic License Plate Reader (ALPR) database for your data without a warrant or approval from any other organization. Before today, how aware were you of that fact? (zke2ete)","Police can legally share your license plate Automatic License Plate Reader (ALPR) data with other local governments/police departments within California at any time without a warrant. Before today, how aware were you of that fact? (skzr4a8)","The image above shows locations and number of Automatic License Plate Reader (ALPR) cameras in the Bay Area reported by residents. Actual locations and counts may vary, but there is likely to be more installed than shown in the image. Before today, how aware were you of the number of ALPR cameras in the Bay Area? (3eg0nl6)",How supportive are you of Automatic License Plate Reader (ALPR) cameras installed by local governments and used by law enforcement? (y7ka0mc),How supportive are you of private individuals or businesses installing Automatic License Plate Reader (ALPR) cameras and sharing the data voluntarily with police? (uktyzgu),Have you ever felt uncomfortable or treated unfairly due to surveillance technology? (5bdjc2c),"veiHow concerned are you that surllance technologies may harm others (e.g., unhoused people, immigrants, protesters), even if they don’t affect you personally? (gvrrsub)",Do you believe surveillance is being used more for public safety or social control? (cfu4j56),Which of the following groups should have access to surveillance data? (Select all that apply) (bgnrn84),Who do you trust to make decisions about how surveillance is used in your city? (Select all that apply) (w02ux9i),How important is it to you that the public has input or oversight before new surveillance technologies are adopted? (ttzmqna),"How likely do you think it is that police would share Automatic License Plate Reader (ALPR) data with federal agencies, even if not legally allowed? (gnnu4ft)",It’s okay for police to track and store the location data of people who haven’t done anything wrong. (nd9oynf),"Surveillance technologies such as ALPRs disproportionately impact marginalized communities (e.g., by race, income, housing status, or immigration status)? (f1j1olu)",Surveillance technologies such as ALPRs increase public safety. (u84m4pd),What should be done about ALPRs in your city? Select all that apply (vwzlz5r),What is your race or ethnicity? (Select all that apply) (d8morv7),How did you find this survey? (yyxwhnl),age,gender,education,yearOfBirth,educationScore,politicalViews,householdIncome,femaleAs1MaleAs0,politicalLiberalness,householdIncomeScore,householdIncomeEstimate,How did surveillance make you feel or impact you? (urjiu1g),How concerned are you about local Automatic License Plate Reader (ALPR) data being shared with federal agencies like ICE or the FBI? (izclv6s),The San Francisco Standard recently reported that the San Francisco and Oakland Police Departments shared Automatic License Plate Reader (ALPR) data with federal agencies like ICE — in violation of state law. How concerned does this make you feel? (dgwct6r)
16180316,34,,2025-07-31 9:24:49,,0.9,zke2ete,0,,No,,pcf73fdfe,pa1c41e64,pffe2652f,2025/07/31 2:22 AM,United States,889ed851aab3c898a5b39105e1bb9b9153e26d4f,smartphone,"Automatic License Plate Readers (ALPRs),Facial recognition technology,ShotSpotter or gunshot detection,Speed Cameras",3 = Moderately concerned,2 = Rarely,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,,,,,,,,,,,,,,,,,,,25,female,completedProfessionalDegree,2000,7,Liberal,"$150,000 to $199,999",1,1,7,175000,,,
16180320,34,,2025-07-31 9:25:13,,3.83,7h99xur,0,,No,17406,pfaac6872,pae87e735,pffe2652f,2025/07/31 2:22 AM,United States,a6b8d940901f81071e52db25a1f6024da1e15aeb,smartphone,"Surveillance/security cameras,Speed Cameras",2 = Slightly concerned,2 = Rarely,3 = Somewhat familiar,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Somewhat oppose,2 = Somewhat oppose,No,3 = Moderately concerned,4 = Mostly for social control,Police,"Local elected officials,Community members",4 = Very important,4 = Likely,2 = Somewhat disagree,2 = Somewhat disagree,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",White,Dave App,43,male,completedOnlyHighSchoolOrTheEquivalent,1982,2,Moderate,"$150,000 to $199,999",0,0,7,175000,,4 = Very concerned,
16180321,34,,2025-07-31 9:25:27,,1.57,7h99xur,0,,No,73013,pb4d33d0a,pc51f9b7a,pffe2652f,2025/07/31 2:23 AM,United States,293d2ec7b36162aced08175ea53633c5fd466d2a,smartphone,"Surveillance/security cameras,Drones",2 = Slightly concerned,3 = Sometimes,2 = Slightly familiar,2 = Slightly aware,2 = Slightly aware,2 = Slightly aware,2 = Slightly aware,1 = Not at all aware,3 = Neutral / Not sure,2 = Somewhat oppose,Not sure,2 = Slightly concerned,3 = Equally both,"Police,Local government,Private companies,Federal Government","Local elected officials,Police department",4 = Very important,2 = Unlikely,3 = Neutral,2 = Somewhat disagree,4 = Somewhat agree,"Reduce use,Require more transparency,Keep things as they are",Asian or Pacific Islander,Flyer,27,female,completedOnlyHighSchoolOrTheEquivalent,1998,2,Moderate,"$85,000 to $114,999",1,0,5,100000,,3 = Moderately concerned,
16180325,34,,2025-07-31 9:26:14,,6.85,7h99xur,0,,Yes,93308,pcc9ec136,pc879557e,pffe2652f,2025/07/31 2:21 AM,United States,52253b2edfb72fd47d5ab6375424a82cdad83438,tablet,"Surveillance/security cameras,Drones,ShotSpotter or gunshot detection",5 = Extremely concerned,3 = Sometimes,3 = Somewhat familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Strongly oppose,1 = Strongly oppose,Not sure,5 = Extremely concerned,5 = Entirely for social control,No one — it shouldn’t be collected,Community members,5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,5 = Strongly agree,1 = Strongly disagree,"Ban them,Require public approval","Black or African American,Asian or Pacific Islander,Native American or Indigenous",Rewarded play,37,female,completedTradeTechicalVocationalTraing,1988,3,Very liberal,"$10,000 to $24,999",1,2,1,17500,,5 = Extremely concerned,
16180331,34,,2025-07-31 9:27:01,,3.5,7h99xur,0,,Yes,38108,pb1c5f075,pbe89b7ae,pffe2652f,2025/07/31 2:24 AM,United States,744c0169c3ae52a4cd75eccda8f78bfaf8b506bd,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Facial recognition technology,Speed Cameras",2 = Slightly concerned,2 = Rarely,3 = Somewhat familiar,3 = Somewhat aware,4 = Very aware,4 = Very aware,4 = Very aware,2 = Slightly aware,4 = Somewhat support,5 = Strongly support,No,2 = Slightly concerned,3 = Equally both,"Police,Local government,Private companies,Federal Government","Community organizations,Community members",5 = Absolutely essential,4 = Likely,1 = Strongly disagree,4 = Somewhat agree,3 = Neutral,"Require more transparency,Require public approval",Black or African American,Imvu,40,female,completedAssociateDegreeOnly,1985,4,Moderate,"$10,000 to $24,999",1,0,1,17500,,5 = Extremely concerned,
16180335,34,,2025-07-31 9:27:22,,4.32,7h99xur,0,,No,77089,pc86f30ff,pf1cc9b90,pffe2652f,2025/07/31 2:25 AM,United States,d56a59d799cc3ae991c100160b17d083144ad2ed,smartphone,Surveillance/security cameras,1 = Not at all concerned,3 = Sometimes,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,4 = Very aware,3 = Somewhat aware,1 = Not at all aware,3 = Neutral / Not sure,3 = Neutral / Not sure,No,3 = Moderately concerned,3 = Equally both,"Police,Local government,Federal Government",Local elected officials,3 = Moderately important,5 = Very likely,2 = Somewhat disagree,4 = Somewhat agree,3 = Neutral,"Require more safeguards (e.g., limits on use, access, or retention),Require public approval",Black or African American,Episode,25,female,completedOnlyHighSchoolOrTheEquivalent,2000,2,Moderate,"$10,000 to $24,999",1,0,1,17500,,4 = Very concerned,
16180336,34,,2025-07-31 9:27:31,,5.07,7h99xur,0,,Yes,87106,pc75161d0,pff9e529a,pffe2652f,2025/07/31 2:24 AM,United States,3d449741e502f4e8c19517608ec00d04f7bd46d5,desktop,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Speed Cameras",1 = Not at all concerned,4 = Often,2 = Slightly familiar,2 = Slightly aware,3 = Somewhat aware,3 = Somewhat aware,3 = Somewhat aware,1 = Not at all aware,3 = Neutral / Not sure,2 = Somewhat oppose,Yes,4 = Very concerned,5 = Entirely for social control,No one — it shouldn’t be collected,"Community organizations,Community members",4 = Very important,5 = Very likely,1 = Strongly disagree,5 = Strongly agree,3 = Neutral,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Hispanic or Latino,Website,20,female,completedAssociateDegreeOnly,2005,4,Very liberal,"$60,000 to $84,999",1,2,4,72500,It makes me feel that perhaps I am not in a safe area.,5 = Extremely concerned,
16180344,34,,2025-07-31 9:28:52,,3.03,7h99xur,0,,Yes,55118,pfe124869,pdaf3fcbb,pffe2652f,2025/07/31 2:26 AM,United States,1a6e46b7dca738a683f8cbb11e5941ace60b206f,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),ShotSpotter or gunshot detection,Speed Cameras",3 = Moderately concerned,4 = Often,4 = Very familiar,3 = Somewhat aware,3 = Somewhat aware,3 = Somewhat aware,2 = Slightly aware,4 = Very aware,4 = Somewhat support,2 = Somewhat oppose,No,2 = Slightly concerned,3 = Equally both,Local government,Community members,3 = Moderately important,3 = Unsure,4 = Somewhat agree,2 = Somewhat disagree,5 = Strongly agree,"Require more safeguards (e.g., limits on use, access, or retention),Require public approval",White,Dave,35,male,completedTradeTechicalVocationalTraing,1990,3,Conservative,"$40,000 to $59,999",0,-1,3,50000,,2 = Slightly concerned,
16180351,34,,2025-07-31 9:29:44,,2.85,7h99xur,0,,No,67210,pf4b78440,pc6de6d75,pffe2652f,2025/07/31 2:26 AM,United States,86a791074ab70876372b8791626e86cbdab3b763,smartphone,"Surveillance/security cameras,Speed Cameras",1 = Not at all concerned,1 = Never,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Strongly oppose,3 = Neutral / Not sure,No,1 = Not concerned at all,3 = Equally both,Everyone,"Community organizations,Community members",2 = Slightly important,5 = Very likely,1 = Strongly disagree,4 = Somewhat agree,3 = Neutral,"Require more safeguards (e.g., limits on use, access, or retention),Require public approval",White,Pocketfm,32,male,completedOnlyHighSchoolOrTheEquivalent,1993,2,Moderate,"$25,000 to $39,999",0,0,2,32500,,1 = Not at all concerned,
16180359,34,,2025-07-31 9:30:43,,3.02,7h99xur,0,,Yes,95815,pd5efcbfa,pcaac9d8d,pffe2652f,2025/07/31 2:28 AM,United States,25600e7e05f84b976bb048203d51e72c545b7e29,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Speed Cameras",5 = Extremely concerned,4 = Often,4 = Very familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Strongly oppose,1 = Strongly oppose,Yes,5 = Extremely concerned,5 = Entirely for social control,No one — it shouldn’t be collected,No one,5 = Absolutely essential,1 = Very unlikely,1 = Strongly disagree,1 = Strongly disagree,1 = Strongly disagree,Ban them,White,Qmee,32,male,completedOnlyHighSchoolOrTheEquivalent,1993,2,Moderate,"Less than $9,999",0,0,0,4500,It made me feel disturbed and violated.,4 = Very concerned,
16220483,39,,2025-08-06 9:00:41,,3.85,7h99xur,0,,Not sure,86440,pf6ca22dc,pfb66e0c4,pffe2652f,2025/08/06 1:57 AM,United States,5ef646fb7fc8dee60a87e71d5a21b9de0363274e,desktop,"Surveillance/security cameras,Speed Cameras",4 = Very concerned,4 = Often,3 = Somewhat familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Strongly oppose,1 = Strongly oppose,Not sure,4 = Very concerned,4 = Mostly for social control,No one — it shouldn’t be collected,Community members,5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,5 = Strongly agree,3 = Neutral,Ban them,White,Dave app,43,female,completedTradeTechicalVocationalTraing,1982,3,Moderate,"$60,000 to $84,999",1,0,4,72500,,5 = Extremely concerned,5 = Extremely concerned
16220520,39,,2025-08-06 9:13:01,,3.55,7h99xur,0,,Yes,94561,pce548793,pc5fc5d14,pffe2652f,2025/08/06 2:11 AM,United States,6a31ea14d477d58c3f0019f14ac3f38267989a1b,smartphone,"Surveillance/security cameras,Speed Cameras",1 = Not at all concerned,4 = Often,1 = Not at all familiar,1 = Not at all aware,2 = Slightly aware,2 = Slightly aware,3 = Somewhat aware,2 = Slightly aware,3 = Neutral / Not sure,2 = Somewhat oppose,No,2 = Slightly concerned,3 = Equally both,"Local government,Federal Government",Police department,2 = Slightly important,2 = Unlikely,1 = Strongly disagree,2 = Somewhat disagree,4 = Somewhat agree,Require public approval,,Tiktok,19,female,completedOnlyHighSchoolOrTheEquivalent,2006,2,Moderate,"Less than $9,999",1,0,0,4500,,3 = Moderately concerned,2 = Slightly concerned
16220528,39,,2025-08-06 9:14:10,,2.83,7h99xur,0,,No,94578,pa4c058f8,pdb5095ed,pffe2652f,2025/08/06 2:12 AM,United States,9d9e9a916aae473797c6c2f720a1f801ceb6928b,smartphone,None of the above,1 = Not at all concerned,3 = Sometimes,3 = Somewhat familiar,3 = Somewhat aware,4 = Very aware,4 = Very aware,3 = Somewhat aware,1 = Not at all aware,2 = Somewhat oppose,2 = Somewhat oppose,No,3 = Moderately concerned,3 = Equally both,"Police,Local government,Federal Government","Local elected officials,Police department,Community organizations,Community members",3 = Moderately important,3 = Unsure,3 = Neutral,3 = Neutral,3 = Neutral,"Require more safeguards (e.g., limits on use, access, or retention)",Hispanic or Latino,Positly,20,female,completedOnlyHighSchoolOrTheEquivalent,2005,2,Moderate,"Less than $9,999",1,0,0,4500,,5 = Extremely concerned,3 = Moderately concerned
16220544,39,,2025-08-06 9:20:36,,5.45,7h99xur,0,,Yes,94611,pdd2f93b7,pf32c27ed,pffe2652f,2025/08/06 2:18 AM,United States,39590f204b944aa4bc4f83168bb192f0d6ed1c96,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Facial recognition technology,ShotSpotter or gunshot detection,Speed Cameras",3 = Moderately concerned,5 = All the time,3 = Somewhat familiar,4 = Very aware,2 = Slightly aware,1 = Not at all aware,4 = Very aware,1 = Not at all aware,2 = Somewhat oppose,1 = Strongly oppose,Yes,4 = Very concerned,4 = Mostly for social control,No one — it shouldn’t be collected,"Community organizations,Community members",5 = Absolutely essential,3 = Unsure,1 = Strongly disagree,1 = Strongly disagree,3 = Neutral,"Reduce use,Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Black or African American,Friend,34,male,completedBachelorsDegree,1991,5,Moderate,"$115,000 to $149,999",0,0,6,132500,I know I’m being watched by a neighbor and I don’t like it,3 = Moderately concerned,4 = Very concerned
16220565,39,,2025-08-06 9:26:40,,4.55,7h99xur,0,,Yes,94122,pa456f7a3,pb748be71,pffe2652f,2025/08/06 2:22 AM,United States,b1ba0baea0458f599bfc21868195d2d04ec39b1f,smartphone,"Surveillance/security cameras,Drones,Facial recognition technology,Speed Cameras",3 = Moderately concerned,5 = All the time,3 = Somewhat familiar,3 = Somewhat aware,4 = Very aware,3 = Somewhat aware,2 = Slightly aware,1 = Not at all aware,5 = Strongly support,3 = Neutral / Not sure,No,4 = Very concerned,1 = Entirely for public safety,Police,"Police department,Community members",4 = Very important,2 = Unlikely,1 = Strongly disagree,3 = Neutral,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency",White,Positly,30,female,completedMastersDegree,1995,6,Moderate,"$150,000 to $199,999",1,0,7,175000,,3 = Moderately concerned,5 = Extremely concerned
